mH_GeV  XS_pb   Scale_pos   Scale_neg   PDF_plus_alpha_s
120.00  0.661	1.4 	    -2.2 	    2.8
122.00  0.634	1.6 	    -2.3 	    2.8
124.00  0.607	1.7 	    -2.3 	    2.8
124.60  0.599	1.7 	    -2.4 	    2.8
124.80  0.596	1.7 	    -2.4 	    2.8
125.00  0.593	1.7 	    -2.3 	    2.8
125.09  0.592	1.7 	    -2.4 	    2.8
125.20  0.591	1.7 	    -2.4 	    2.8
125.30  0.590	1.7 	    -2.4 	    2.8
125.38  0.589	1.7 	    -2.4 	    2.8
125.60  0.586	1.8 	    -2.4 	    2.8
126.00  0.581	1.8 	    -2.4 	    2.8
128.00  0.554	1.9 	    -2.5 	    2.8
130.00  0.527	2.1 	    -2.6 	    2.8
