mH_GeV  XS_pb   Scale_pos   Scale_neg   PDF_plus_alpha_s
120.00  1.066	2.7 	    -2.5 	    1.6
122.00  1.017	2.8 	    -2.6 	    1.6
124.00  0.971	2.8 	    -2.6 	    1.6
124.60  0.957	2.8 	    -2.6 	    1.6
124.80  0.953	2.9 	    -2.6 	    1.6
125.00  0.949	2.8 	    -2.6 	    1.7
125.09  0.947	2.9 	    -2.6 	    1.6
125.20  0.944	2.9 	    -2.6 	    1.6
125.30  0.942	2.9 	    -2.6 	    1.6
125.38  0.941	2.9 	    -2.6 	    1.6
125.60  0.936	2.9 	    -2.6 	    1.6
126.00  0.927	2.9 	    -2.7 	    1.6
128.00  0.886	3.0 	    -2.7 	    1.6
130.00  0.847	3.0 	    -2.7 	    1.6
